Hour of the year,Hour of the day,Day of the year,Month,AZNMc,CAMXc,ERCTc,FRCCc,MROEc,MROWc,NEWEc,NWPPc,NYSTc,RFCEc,RFCMc,RFCWc,RMPAc,SPNOc,SPSOc,SRMVc,SRMWc,SRSOc,SRTVc,SRVCc
108,12,5,1,236.1359601,115.2561308,232.1873646,308.6115301,242.5388882,185.1265099,256.4570317,214.4194553,130.0164821,287.8144007,309.6300335,290.9811438,205.6964153,242.6682989,224.3026699,298.6241134,265.6186252,323.8419742,367.561459,280.0415876
109,13,5,1,236.237206,114.7039836,228.7242467,310.1091725,242.5898778,183.1904568,253.8199353,215.1859977,128.2525393,291.6075111,312.4174058,291.8393316,200.3536567,243.8687963,223.4917758,295.181262,270.7211296,317.5085049,364.5800725,279.8174469
110,14,5,1,235.3255779,118.5960629,229.1009128,309.5161052,248.4827045,182.9657568,258.2952719,218.1687506,133.6446009,303.2980822,314.2148483,300.4811439,201.1836057,236.6463838,221.7219681,293.740491,267.8961922,318.3739045,365.9772293,287.3202913
111,15,5,1,243.5662489,136.7362121,233.8730658,315.9906458,310.8745476,207.0522706,278.2185399,225.2657836,152.232771,321.999405,315.0097613,309.0495694,214.0820217,260.2719468,225.7385777,301.5872806,320.5697184,328.8266132,380.8486684,298.0363053
112,16,5,1,262.9890197,172.5674518,251.7227274,336.3156994,408.5080144,333.7349601,297.1180451,257.3913555,197.3145205,440.8290229,341.1784379,417.4774401,222.8636284,318.7834241,262.4509398,352.0629276,401.5652786,378.3267068,412.45542,395.7224026
113,17,5,1,281.0253331,170.5435599,319.5001719,387.4753884,414.0231422,363.304376,301.9309842,263.7426206,208.9616019,500.9343786,374.5835446,524.4197279,227.3397425,362.9084072,327.6758062,391.14354,424.5086183,464.6159523,420.2506375,454.8373922
114,18,5,1,282.1043715,168.6114126,322.8354671,395.9514477,415.8176628,369.0901772,302.8062419,264.9363143,210.0383382,511.0611457,380.2850571,527.7691301,223.8868627,365.8105163,327.853972,394.4038481,424.7974562,473.8666749,420.3202282,461.6276259
115,19,5,1,281.1005186,167.7833349,315.7019081,397.1407805,411.9614799,362.5470136,300.9869764,266.5965929,202.2768738,509.1205083,378.3860413,526.3002146,226.6523186,365.9524023,324.4808113,393.3493175,423.1704608,476.154169,419.8923632,461.7746094
116,20,5,1,279.6093132,167.250015,309.5639803,392.1924157,415.2279051,365.8879861,297.926771,269.0312127,197.945048,502.8255117,377.0866062,526.8925207,225.9037333,363.8185201,312.3560779,396.4873804,421.6629649,473.7128744,420.6259813,460.996309
117,21,5,1,280.6144627,172.1218143,311.8961824,395.1331514,414.3540574,363.7885393,296.3131256,270.6280786,205.3319281,499.5888842,369.4526802,526.2835749,222.6685868,374.2132011,301.5280297,401.3498557,432.3314324,474.9893904,429.0020685,464.5814885
118,22,5,1,280.6034934,178.5127703,321.8465859,437.6168957,414.1032953,353.7295569,289.6319615,269.7549397,198.4174059,480.6974155,372.8692628,522.8527231,232.9012804,368.4157438,308.2228213,407.0231374,435.4700477,505.3731277,434.7519345,467.6698902
119,23,5,1,283.787857,192.948564,316.9134219,468.1497265,411.6946784,361.3715901,288.7577245,269.3115257,192.8152982,471.682314,377.1157968,514.677388,239.649313,385.7822959,308.316485,405.2227651,450.0811431,514.3230845,438.2858461,470.4140757
120,0,6,1,291.4780085,202.4677453,318.71521,454.1473976,410.540378,365.0986454,285.2976093,268.0189238,184.4974267,460.1559038,384.4864499,508.981034,233.0252868,389.0838394,315.4339103,412.0414664,451.7206484,500.7797137,438.8688274,463.0704939
121,1,6,1,294.6665255,211.0633744,325.4161101,445.7311438,411.7420192,367.3071699,283.99587,267.4034889,183.4298341,458.0871781,379.0411913,508.9020405,237.6520035,380.1292357,323.0967232,414.6085952,448.1075219,499.0043125,441.3701566,457.0858507
122,2,6,1,298.12756,215.3807033,319.3569084,444.1348473,413.820725,362.9007222,284.6052001,266.5855866,180.2833155,458.0854615,381.2097479,508.1323431,231.6258591,375.1269329,318.4610485,415.8863936,445.8811832,498.1574547,439.6513804,456.0368461
123,3,6,1,296.5582468,208.6226827,322.148086,435.6471238,417.0536996,370.4743363,284.233802,264.1696644,183.6185696,460.3541019,380.6595906,510.0003641,230.3829012,374.5239146,310.7959589,411.773552,440.804998,497.1810777,440.7756104,457.2499148
124,4,6,1,294.0504913,193.4479007,320.9074803,434.0336598,423.7769034,368.0368619,286.1727547,261.906567,180.3385526,478.2460764,381.152753,519.0017224,229.9050789,375.7133363,313.1722463,405.3936142,444.1467618,494.7619565,436.2117433,458.5381503
125,5,6,1,287.3181387,183.0319844,323.5660221,439.5830088,417.8028672,357.294757,285.4358485,263.8849619,176.4469126,494.6547528,376.3545479,532.770161,222.6812388,360.6151759,323.5105474,403.8009538,431.17764,496.4260664,428.8823015,458.4651062
126,6,6,1,282.3184801,175.5668853,324.017727,419.6645283,413.8717021,351.4548331,288.5336751,264.4488078,176.4349074,511.1338669,377.6197057,536.86495,221.2742978,356.3062334,325.4620723,398.4168807,421.511337,487.5496648,426.1654012,468.8988695
127,7,6,1,272.8354388,155.0068084,303.5122841,357.5709172,328.0133141,310.9080061,282.4280873,248.4621124,170.9254314,482.4104155,377.3243797,519.9362359,214.5335666,310.9682767,296.173441,356.0219583,329.5940944,471.8162545,386.9617439,459.1564551
128,8,6,1,244.6454619,115.0792646,246.1917083,322.8334273,257.142141,211.500696,260.9206894,225.9661294,149.6337193,380.4161007,338.9674572,385.4732212,197.6961854,241.3912175,248.621835,311.5664998,278.3186697,391.9497004,373.6876244,366.8836637
129,9,6,1,236.7186815,116.5211598,239.1009253,313.9194538,252.1556237,187.4874277,251.8361786,217.3864406,136.8027605,323.4872834,318.5866572,320.8453088,195.2826885,240.4058418,231.7197065,304.9999078,272.2542323,345.8819549,375.9527678,303.0013486
130,10,6,1,234.8368207,113.4651342,232.0900662,314.0990401,245.5530497,179.3881225,253.0511096,213.2800859,132.9725988,307.1867992,320.4478588,307.0136775,200.7628867,231.9803705,224.2271852,298.1017909,263.7140726,320.3298602,373.4691816,288.1103088
131,11,6,1,236.9474366,113.5842949,230.5811689,312.6449226,243.2460592,182.6242855,258.442048,216.2402325,130.4015585,293.9006973,315.1731393,295.5146159,204.6722302,235.7241059,223.7375776,298.1642284,262.4150827,315.8810468,369.3884489,283.2057288
132,12,6,1,236.1359601,115.2561308,232.1873646,308.6115301,242.5388882,185.1265099,256.4570317,214.4194553,130.0164821,287.8144007,309.6300335,290.9811438,205.6964153,242.6682989,224.3026699,298.6241134,265.6186252,323.8419742,367.561459,280.0415876
133,13,6,1,236.237206,114.7039836,228.7242467,310.1091725,242.5898778,183.1904568,253.8199353,215.1859977,128.2525393,291.6075111,312.4174058,291.8393316,200.3536567,243.8687963,223.4917758,295.181262,270.7211296,317.5085049,364.5800725,279.8174469
134,14,6,1,235.3255779,118.5960629,229.1009128,309.5161052,248.4827045,182.9657568,258.2952719,218.1687506,133.6446009,303.2980822,314.2148483,300.4811439,201.1836057,236.6463838,221.7219681,293.740491,267.8961922,318.3739045,365.9772293,287.3202913
135,15,6,1,243.5662489,136.7362121,233.8730658,315.9906458,310.8745476,207.0522706,278.2185399,225.2657836,152.232771,321.999405,315.0097613,309.0495694,214.0820217,260.2719468,225.7385777,301.5872806,320.5697184,328.8266132,380.8486684,298.0363053
136,16,6,1,262.9890197,172.5674518,251.7227274,336.3156994,408.5080144,333.7349601,297.1180451,257.3913555,197.3145205,440.8290229,341.1784379,417.4774401,222.8636284,318.7834241,262.4509398,352.0629276,401.5652786,378.3267068,412.45542,395.7224026
137,17,6,1,281.0253331,170.5435599,319.5001719,387.4753884,414.0231422,363.304376,301.9309842,263.7426206,208.9616019,500.9343786,374.5835446,524.4197279,227.3397425,362.9084072,327.6758062,391.14354,424.5086183,464.6159523,420.2506375,454.8373922
138,18,6,1,282.1043715,168.6114126,322.8354671,395.9514477,415.8176628,369.0901772,302.8062419,264.9363143,210.0383382,511.0611457,380.2850571,527.7691301,223.8868627,365.8105163,327.853972,394.4038481,424.7974562,473.8666749,420.3202282,461.6276259
139,19,6,1,281.1005186,167.7833349,315.7019081,397.1407805,411.9614799,362.5470136,300.9869764,266.5965929,202.2768738,509.1205083,378.3860413,526.3002146,226.6523186,365.9524023,324.4808113,393.3493175,423.1704608,476.154169,419.8923632,461.7746094
140,20,6,1,279.6093132,167.250015,309.5639803,392.1924157,415.2279051,365.8879861,297.926771,269.0312127,197.945048,502.8255117,377.0866062,526.8925207,225.9037333,363.8185201,312.3560779,396.4873804,421.6629649,473.7128744,420.6259813,460.996309
141,21,6,1,280.6144627,172.1218143,311.8961824,395.1331514,414.3540574,363.7885393,296.3131256,270.6280786,205.3319281,499.5888842,369.4526802,526.2835749,222.6685868,374.2132011,301.5280297,401.3498557,432.3314324,474.9893904,429.0020685,464.5814885
142,22,6,1,280.6034934,178.5127703,321.8465859,437.6168957,414.1032953,353.7295569,289.6319615,269.7549397,198.4174059,480.6974155,372.8692628,522.8527231,232.9012804,368.4157438,308.2228213,407.0231374,435.4700477,505.3731277,434.7519345,467.6698902
143,23,6,1,283.787857,192.948564,316.9134219,468.1497265,411.6946784,361.3715901,288.7577245,269.3115257,192.8152982,471.682314,377.1157968,514.677388,239.649313,385.7822959,308.316485,405.2227651,450.0811431,514.3230845,438.2858461,470.4140757
144,0,7,1,291.4780085,202.4677453,318.71521,454.1473976,410.540378,365.0986454,285.2976093,268.0189238,184.4974267,460.1559038,384.4864499,508.981034,233.0252868,389.0838394,315.4339103,412.0414664,451.7206484,500.7797137,438.8688274,463.0704939
145,1,7,1,294.6665255,211.0633744,325.4161101,445.7311438,411.7420192,367.3071699,283.99587,267.4034889,183.4298341,458.0871781,379.0411913,508.9020405,237.6520035,380.1292357,323.0967232,414.6085952,448.1075219,499.0043125,441.3701566,457.0858507
146,2,7,1,298.12756,215.3807033,319.3569084,444.1348473,413.820725,362.9007222,284.6052001,266.5855866,180.2833155,458.0854615,381.2097479,508.1323431,231.6258591,375.1269329,318.4610485,415.8863936,445.8811832,498.1574547,439.6513804,456.0368461
147,3,7,1,296.5582468,208.6226827,322.148086,435.6471238,417.0536996,370.4743363,284.233802,264.1696644,183.6185696,460.3541019,380.6595906,510.0003641,230.3829012,374.5239146,310.7959589,411.773552,440.804998,497.1810777,440.7756104,457.2499148
148,4,7,1,294.0504913,193.4479007,320.9074803,434.0336598,423.7769034,368.0368619,286.1727547,261.906567,180.3385526,478.2460764,381.152753,519.0017224,229.9050789,375.7133363,313.1722463,405.3936142,444.1467618,494.7619565,436.2117433,458.5381503
149,5,7,1,287.3181387,183.0319844,323.5660221,439.5830088,417.8028672,357.294757,285.4358485,263.8849619,176.4469126,494.6547528,376.3545479,532.770161,222.6812388,360.6151759,323.5105474,403.8009538,431.17764,496.4260664,428.8823015,458.4651062
150,6,7,1,282.3184801,175.5668853,324.017727,419.6645283,413.8717021,351.4548331,288.5336751,264.4488078,176.4349074,511.1338669,377.6197057,536.86495,221.2742978,356.3062334,325.4620723,398.4168807,421.511337,487.5496648,426.1654012,468.8988695
151,7,7,1,272.8354388,155.0068084,303.5122841,357.5709172,328.0133141,310.9080061,282.4280873,248.4621124,170.9254314,482.4104155,377.3243797,519.9362359,214.5335666,310.9682767,296.173441,356.0219583,329.5940944,471.8162545,386.9617439,459.1564551
152,8,7,1,244.6454619,115.0792646,246.1917083,322.8334273,257.142141,211.500696,260.9206894,225.9661294,149.6337193,380.4161007,338.9674572,385.4732212,197.6961854,241.3912175,248.621835,311.5664998,278.3186697,391.9497004,373.6876244,366.8836637
153,9,7,1,236.7186815,116.5211598,239.1009253,313.9194538,252.1556237,187.4874277,251.8361786,217.3864406,136.8027605,323.4872834,318.5866572,320.8453088,195.2826885,240.4058418,231.7197065,304.9999078,272.2542323,345.8819549,375.9527678,303.0013486
154,10,7,1,234.8368207,113.4651342,232.0900662,314.0990401,245.5530497,179.3881225,253.0511096,213.2800859,132.9725988,307.1867992,320.4478588,307.0136775,200.7628867,231.9803705,224.2271852,298.1017909,263.7140726,320.3298602,373.4691816,288.1103088
155,11,7,1,236.9474366,113.5842949,230.5811689,312.6449226,243.2460592,182.6242855,258.442048,216.2402325,130.4015585,293.9006973,315.1731393,295.5146159,204.6722302,235.7241059,223.7375776,298.1642284,262.4150827,315.8810468,369.3884489,283.2057288
156,12,7,1,236.1359601,115.2561308,232.1873646,308.6115301,242.5388882,185.1265099,256.4570317,214.4194553,130.0164821,287.8144007,309.6300335,290.9811438,205.6964153,242.6682989,224.3026699,298.6241134,265.6186252,323.8419742,367.561459,280.0415876
157,13,7,1,236.237206,114.7039836,228.7242467,310.1091725,242.5898778,183.1904568,253.8199353,215.1859977,128.2525393,291.6075111,312.4174058,291.8393316,200.3536567,243.8687963,223.4917758,295.181262,270.7211296,317.5085049,364.5800725,279.8174469
158,14,7,1,235.3255779,118.5960629,229.1009128,309.5161052,248.4827045,182.9657568,258.2952719,218.1687506,133.6446009,303.2980822,314.2148483,300.4811439,201.1836057,236.6463838,221.7219681,293.740491,267.8961922,318.3739045,365.9772293,287.3202913
159,15,7,1,243.5662489,136.7362121,233.8730658,315.9906458,310.8745476,207.0522706,278.2185399,225.2657836,152.232771,321.999405,315.0097613,309.0495694,214.0820217,260.2719468,225.7385777,301.5872806,320.5697184,328.8266132,380.8486684,298.0363053
160,16,7,1,262.9890197,172.5674518,251.7227274,336.3156994,408.5080144,333.7349601,297.1180451,257.3913555,197.3145205,440.8290229,341.1784379,417.4774401,222.8636284,318.7834241,262.4509398,352.0629276,401.5652786,378.3267068,412.45542,395.7224026
161,17,7,1,281.0253331,170.5435599,319.5001719,387.4753884,414.0231422,363.304376,301.9309842,263.7426206,208.9616019,500.9343786,374.5835446,524.4197279,227.3397425,362.9084072,327.6758062,391.14354,424.5086183,464.6159523,420.2506375,454.8373922
162,18,7,1,282.1043715,168.6114126,322.8354671,395.9514477,415.8176628,369.0901772,302.8062419,264.9363143,210.0383382,511.0611457,380.2850571,527.7691301,223.8868627,365.8105163,327.853972,394.4038481,424.7974562,473.8666749,420.3202282,461.6276259
163,19,7,1,281.1005186,167.7833349,315.7019081,397.1407805,411.9614799,362.5470136,300.9869764,266.5965929,202.2768738,509.1205083,378.3860413,526.3002146,226.6523186,365.9524023,324.4808113,393.3493175,423.1704608,476.154169,419.8923632,461.7746094
164,20,7,1,279.6093132,167.250015,309.5639803,392.1924157,415.2279051,365.8879861,297.926771,269.0312127,197.945048,502.8255117,377.0866062,526.8925207,225.9037333,363.8185201,312.3560779,396.4873804,421.6629649,473.7128744,420.6259813,460.996309
165,21,7,1,280.6144627,172.1218143,311.8961824,395.1331514,414.3540574,363.7885393,296.3131256,270.6280786,205.3319281,499.5888842,369.4526802,526.2835749,222.6685868,374.2132011,301.5280297,401.3498557,432.3314324,474.9893904,429.0020685,464.5814885
166,22,7,1,280.6034934,178.5127703,321.8465859,437.6168957,414.1032953,353.7295569,289.6319615,269.7549397,198.4174059,480.6974155,372.8692628,522.8527231,232.9012804,368.4157438,308.2228213,407.0231374,435.4700477,505.3731277,434.7519345,467.6698902
167,23,7,1,283.787857,192.948564,316.9134219,468.1497265,411.6946784,361.3715901,288.7577245,269.3115257,192.8152982,471.682314,377.1157968,514.677388,239.649313,385.7822959,308.316485,405.2227651,450.0811431,514.3230845,438.2858461,470.4140757
168,0,8,1,291.4780085,202.4677453,318.71521,454.1473976,410.540378,365.0986454,285.2976093,268.0189238,184.4974267,460.1559038,384.4864499,508.981034,233.0252868,389.0838394,315.4339103,412.0414664,451.7206484,500.7797137,438.8688274,463.0704939
169,1,8,1,294.6665255,211.0633744,325.4161101,445.7311438,411.7420192,367.3071699,283.99587,267.4034889,183.4298341,458.0871781,379.0411913,508.9020405,237.6520035,380.1292357,323.0967232,414.6085952,448.1075219,499.0043125,441.3701566,457.0858507
170,2,8,1,298.12756,215.3807033,319.3569084,444.1348473,413.820725,362.9007222,284.6052001,266.5855866,180.2833155,458.0854615,381.2097479,508.1323431,231.6258591,375.1269329,318.4610485,415.8863936,445.8811832,498.1574547,439.6513804,456.0368461
171,3,8,1,296.5582468,208.6226827,322.148086,435.6471238,417.0536996,370.4743363,284.233802,264.1696644,183.6185696,460.3541019,380.6595906,510.0003641,230.3829012,374.5239146,310.7959589,411.773552,440.804998,497.1810777,440.7756104,457.2499148
172,4,8,1,294.0504913,193.4479007,320.9074803,434.0336598,423.7769034,368.0368619,286.1727547,261.906567,180.3385526,478.2460764,381.152753,519.0017224,229.9050789,375.7133363,313.1722463,405.3936142,444.1467618,494.7619565,436.2117433,458.5381503
173,5,8,1,287.3181387,183.0319844,323.5660221,439.5830088,417.8028672,357.294757,285.4358485,263.8849619,176.4469126,494.6547528,376.3545479,532.770161,222.6812388,360.6151759,323.5105474,403.8009538,431.17764,496.4260664,428.8823015,458.4651062
174,6,8,1,282.3184801,175.5668853,324.017727,419.6645283,413.8717021,351.4548331,288.5336751,264.4488078,176.4349074,511.1338669,377.6197057,536.86495,221.2742978,356.3062334,325.4620723,398.4168807,421.511337,487.5496648,426.1654012,468.8988695
175,7,8,1,272.8354388,155.0068084,303.5122841,357.5709172,328.0133141,310.9080061,282.4280873,248.4621124,170.9254314,482.4104155,377.3243797,519.9362359,214.5335666,310.9682767,296.173441,356.0219583,329.5940944,471.8162545,386.9617439,459.1564551
176,8,8,1,244.6454619,115.0792646,246.1917083,322.8334273,257.142141,211.500696,260.9206894,225.9661294,149.6337193,380.4161007,338.9674572,385.4732212,197.6961854,241.3912175,248.621835,311.5664998,278.3186697,391.9497004,373.6876244,366.8836637
177,9,8,1,236.7186815,116.5211598,239.1009253,313.9194538,252.1556237,187.4874277,251.8361786,217.3864406,136.8027605,323.4872834,318.5866572,320.8453088,195.2826885,240.4058418,231.7197065,304.9999078,272.2542323,345.8819549,375.9527678,303.0013486
178,10,8,1,234.8368207,113.4651342,232.0900662,314.0990401,245.5530497,179.3881225,253.0511096,213.2800859,132.9725988,307.1867992,320.4478588,307.0136775,200.7628867,231.9803705,224.2271852,298.1017909,263.7140726,320.3298602,373.4691816,288.1103088
179,11,8,1,236.9474366,113.5842949,230.5811689,312.6449226,243.2460592,182.6242855,258.442048,216.2402325,130.4015585,293.9006973,315.1731393,295.5146159,204.6722302,235.7241059,223.7375776,298.1642284,262.4150827,315.8810468,369.3884489,283.2057288
180,12,8,1,236.1359601,115.2561308,232.1873646,308.6115301,242.5388882,185.1265099,256.4570317,214.4194553,130.0164821,287.8144007,309.6300335,290.9811438,205.6964153,242.6682989,224.3026699,298.6241134,265.6186252,323.8419742,367.561459,280.0415876
