Dependency=Vintage	Dependency=Geometry Floor Area	Dependency=ASHRAE IECC Climate Zone 2004	Option=1 ACH50	Option=2 ACH50	Option=3 ACH50	Option=4 ACH50	Option=5 ACH50	Option=6 ACH50	Option=7 ACH50	Option=8 ACH50	Option=10 ACH50	Option=15 ACH50	Option=20 ACH50	Option=25 ACH50	Option=30 ACH50	Option=40 ACH50	Option=50 ACH50
2010s	750-999	5B	0.000017	0.002485	0.021457	0.059778	0.096674	0.117099	0.120083	0.111226	0.176864	0.212327	0.058996	0.016124	0.004664	0.001928	0.000278
2010s	750-999	6A	0.000015	0.002324	0.020524	0.057970	0.094664	0.115537	0.119235	0.111048	0.177800	0.215953	0.060869	0.016814	0.004904	0.002044	0.000299
2010s	750-999	6B	0.000012	0.002029	0.018670	0.054242	0.090434	0.112194	0.117361	0.110579	0.179610	0.223495	0.064908	0.018348	0.005453	0.002317	0.000348
2010s	750-999	7A	0.000015	0.002324	0.020524	0.057970	0.094664	0.115537	0.119235	0.111048	0.177800	0.215953	0.060869	0.016814	0.004904	0.002044	0.000299
2010s	750-999	7B	0.000012	0.002029	0.018670	0.054242	0.090434	0.112194	0.117361	0.110579	0.179610	0.223495	0.064908	0.018348	0.005453	0.002317	0.000348
<1940	0-499	1A	0.000000	0.000000	0.000000	0.000008	0.000054	0.000217	0.000608	0.001341	0.006563	0.055023	0.114627	0.146218	0.146010	0.230547	0.298785
<1940	0-499	2A	0.000000	0.000000	0.000000	0.000008	0.000054	0.000217	0.000608	0.001341	0.006563	0.055023	0.114627	0.146218	0.146010	0.230547	0.298785
<1940	0-499	2B	0.000000	0.000001	0.000064	0.000576	0.002323	0.005938	0.011431	0.018237	0.058069	0.228399	0.233642	0.171853	0.109908	0.104746	0.054812
<1940	0-499	3A	0.000000	0.000000	0.000004	0.000057	0.000315	0.001041	0.002482	0.004757	0.019302	0.116038	0.178416	0.179779	0.148324	0.188096	0.161388
<1940	0-499	3B	0.000000	0.000001	0.000064	0.000576	0.002323	0.005938	0.011431	0.018237	0.058069	0.228399	0.233642	0.171853	0.109908	0.104746	0.054812
<1940	0-499	3C	0.000000	0.000001	0.000030	0.000303	0.001341	0.003694	0.007573	0.012750	0.043576	0.193904	0.223930	0.180863	0.124763	0.129330	0.077941
<1940	0-499	4A	0.000000	0.000000	0.000002	0.000030	0.000180	0.000634	0.001596	0.003203	0.013823	0.092651	0.157595	0.171762	0.151009	0.205894	0.201620
<1940	0-499	4B	0.000000	0.000001	0.000050	0.000465	0.001936	0.005078	0.009987	0.016226	0.052912	0.216887	0.231113	0.175444	0.115112	0.112865	0.061924
<1940	0-499	4C	0.000000	0.000000	0.000004	0.000055	0.000304	0.001008	0.002412	0.004636	0.018884	0.114332	0.177005	0.179341	0.148628	0.189438	0.163953
<1940	0-499	5A	0.000000	0.000000	0.000017	0.000184	0.000872	0.002540	0.005455	0.009562	0.034465	0.168307	0.212633	0.184056	0.134279	0.148190	0.099441
<1940	0-499	5B	0.000000	0.000001	0.000050	0.000465	0.001936	0.005078	0.009987	0.016226	0.052912	0.216887	0.231113	0.175444	0.115112	0.112865	0.061924
<1940	0-499	6A	0.000000	0.000001	0.000047	0.000437	0.001833	0.004837	0.009569	0.015631	0.051345	0.213251	0.230200	0.176477	0.116703	0.115418	0.064251
<1940	0-499	6B	0.000000	0.000001	0.000039	0.000378	0.001621	0.004354	0.008735	0.014441	0.048181	0.205601	0.227948	0.178409	0.119979	0.120889	0.069423
<1940	0-499	7A	0.000000	0.000001	0.000047	0.000437	0.001833	0.004837	0.009569	0.015631	0.051345	0.213251	0.230200	0.176477	0.116703	0.115418	0.064251
<1940	0-499	7B	0.000000	0.000001	0.000039	0.000378	0.001621	0.004354	0.008735	0.014441	0.048181	0.205601	0.227948	0.178409	0.119979	0.120889	0.069423
<1940	1000-1499	1A	0.000000	0.000000	0.000002	0.000034	0.000200	0.000694	0.001728	0.003440	0.014687	0.096579	0.161380	0.173450	0.150778	0.202948	0.194079
<1940	1000-1499	2A	0.000000	0.000000	0.000002	0.000034	0.000200	0.000694	0.001728	0.003440	0.014687	0.096579	0.161380	0.173450	0.150778	0.202948	0.194079
<1940	1000-1499	2B	0.000000	0.000007	0.000230	0.001706	0.005867	0.013115	0.022520	0.032543	0.091015	0.285626	0.232581	0.143577	0.079716	0.065065	0.026431
<1940	1000-1499	3A	0.000000	0.000000	0.000020	0.000215	0.000996	0.002849	0.006030	0.010438	0.037018	0.175796	0.216278	0.183438	0.131644	0.142620	0.092658
<1940	1000-1499	3B	0.000000	0.000007	0.000230	0.001706	0.005867	0.013115	0.022520	0.032543	0.091015	0.285626	0.232581	0.143577	0.079716	0.065065	0.026431
<1940	1000-1499	3C	0.000000	0.000003	0.000118	0.000966	0.003618	0.008690	0.015865	0.024176	0.072478	0.256622	0.236295	0.160304	0.096048	0.085200	0.039616
<1940	1000-1499	4A	0.000000	0.000000	0.000010	0.000118	0.000596	0.001822	0.004076	0.007394	0.027883	0.147368	0.200768	0.184238	0.140924	0.164032	0.120771
<1940	1000-1499	4B	0.000000	0.000005	0.000185	0.001418	0.005011	0.011466	0.020090	0.029546	0.084572	0.276393	0.234655	0.149564	0.085203	0.071511	0.030380
<1940	1000-1499	4C	0.000000	0.000000	0.000019	0.000206	0.000961	0.002763	0.005873	0.010202	0.036339	0.173842	0.215346	0.183608	0.132332	0.144070	0.094437
<1940	1000-1499	5A	0.000000	0.000002	0.000070	0.000618	0.002468	0.006258	0.011963	0.018970	0.059913	0.232303	0.234292	0.170478	0.108086	0.102031	0.052550
<1940	1000-1499	5B	0.000000	0.000005	0.000185	0.001418	0.005011	0.011466	0.020090	0.029546	0.084572	0.276393	0.234655	0.149564	0.085203	0.071511	0.030380
<1940	1000-1499	6A	0.000000	0.000005	0.000171	0.001331	0.004758	0.010981	0.019372	0.028656	0.082626	0.273426	0.235113	0.151341	0.086911	0.073591	0.031718
<1940	1000-1499	6B	0.000000	0.000004	0.000150	0.001182	0.004285	0.010029	0.017920	0.026813	0.078504	0.266893	0.235884	0.155047	0.090545	0.078080	0.034664
<1940	1000-1499	7A	0.000000	0.000005	0.000171	0.001331	0.004758	0.010981	0.019372	0.028656	0.082626	0.273426	0.235113	0.151341	0.086911	0.073591	0.031718
<1940	1000-1499	7B	0.000000	0.000004	0.000150	0.001182	0.004285	0.010029	0.017920	0.026813	0.078504	0.266893	0.235884	0.155047	0.090545	0.078080	0.034664
<1940	1500-1999	1A	0.000000	0.000000	0.000006	0.000073	0.000392	0.001258	0.002932	0.005517	0.021845	0.125881	0.186083	0.181877	0.146391	0.180500	0.147246
<1940	1500-1999	2A	0.000000	0.000000	0.000006	0.000073	0.000392	0.001258	0.002932	0.005517	0.021845	0.125881	0.186083	0.181877	0.146391	0.180500	0.147246
<1940	1500-1999	2B	0.000000	0.000014	0.000448	0.002977	0.009356	0.019399	0.031251	0.042736	0.111287	0.308854	0.221433	0.124007	0.063644	0.047696	0.016897
<1940	1500-1999	3A	0.000000	0.000001	0.000044	0.000421	0.001779	0.004717	0.009366	0.015344	0.050588	0.211429	0.229670	0.176947	0.117492	0.116727	0.065475
<1940	1500-1999	3B	0.000000	0.000014	0.000448	0.002977	0.009356	0.019399	0.031251	0.042736	0.111287	0.308854	0.221433	0.124007	0.063644	0.047696	0.016897
<1940	1500-1999	3C	0.000000	0.000007	0.000236	0.001741	0.005962	0.013283	0.022752	0.032812	0.091553	0.286315	0.232373	0.143079	0.079263	0.064527	0.026095
<1940	1500-1999	4A	0.000000	0.000000	0.000023	0.000243	0.001104	0.003118	0.006527	0.011193	0.039196	0.182020	0.219100	0.182712	0.129345	0.138018	0.087403
<1940	1500-1999	4B	0.000000	0.000011	0.000361	0.002490	0.008061	0.017130	0.028178	0.039235	0.104575	0.302093	0.225844	0.130596	0.068782	0.053009	0.019635
<1940	1500-1999	4C	0.000000	0.000001	0.000043	0.000406	0.001723	0.004588	0.009142	0.015025	0.049747	0.209432	0.229093	0.177448	0.118340	0.118155	0.066856
<1940	1500-1999	5A	0.000000	0.000004	0.000144	0.001141	0.004165	0.009797	0.017575	0.026383	0.077554	0.265380	0.236026	0.155883	0.091390	0.079156	0.035401
<1940	1500-1999	5B	0.000000	0.000011	0.000361	0.002490	0.008061	0.017130	0.028178	0.039235	0.104575	0.302093	0.225844	0.130596	0.068782	0.053009	0.019635
<1940	1500-1999	6A	0.000000	0.000011	0.000340	0.002361	0.007699	0.016477	0.027273	0.038183	0.102504	0.299805	0.227054	0.132606	0.070402	0.054731	0.020554
<1940	1500-1999	6B	0.000000	0.000009	0.000296	0.002098	0.006967	0.015145	0.025409	0.035995	0.098129	0.294747	0.229426	0.136813	0.073865	0.058480	0.022622
<1940	1500-1999	7A	0.000000	0.000011	0.000340	0.002361	0.007699	0.016477	0.027273	0.038183	0.102504	0.299805	0.227054	0.132606	0.070402	0.054731	0.020554
<1940	1500-1999	7B	0.000000	0.000009	0.000296	0.002098	0.006967	0.015145	0.025409	0.035995	0.098129	0.294747	0.229426	0.136813	0.073865	0.058480	0.022622
<1940	2000-2499	1A	0.000000	0.000000	0.000014	0.000154	0.000747	0.002218	0.004843	0.008609	0.031611	0.159502	0.207931	0.184410	0.137210	0.154812	0.107938
<1940	2000-2499	2A	0.000000	0.000000	0.000014	0.000154	0.000747	0.002218	0.004843	0.008609	0.031611	0.159502	0.207931	0.184410	0.137210	0.154812	0.107938
<1940	2000-2499	2B	0.000000	0.000031	0.000849	0.005059	0.014513	0.027885	0.042109	0.054457	0.131961	0.323637	0.203553	0.103147	0.048841	0.033573	0.010384
<1940	2000-2499	3A	0.000000	0.000002	0.000094	0.000802	0.003092	0.007601	0.014147	0.021918	0.067141	0.246812	0.235991	0.164790	0.101059	0.091960	0.044591
<1940	2000-2499	3B	0.000000	0.000031	0.000849	0.005059	0.014513	0.027885	0.042109	0.054457	0.131961	0.323637	0.203553	0.103147	0.048841	0.033573	0.010384
<1940	2000-2499	3C	0.000000	0.000015	0.000460	0.003048	0.009548	0.019735	0.031705	0.043251	0.112263	0.309785	0.220745	0.123040	0.062910	0.046959	0.016537
<1940	2000-2499	4A	0.000000	0.000001	0.000051	0.000476	0.001977	0.005173	0.010150	0.016458	0.053519	0.218305	0.231479	0.175041	0.114487	0.111861	0.061023
<1940	2000-2499	4B	0.000000	0.000024	0.000688	0.004269	0.012639	0.024910	0.038418	0.050587	0.125432	0.319962	0.209896	0.109854	0.053392	0.037739	0.012190
<1940	2000-2499	4C	0.000000	0.000002	0.000090	0.000772	0.002996	0.007402	0.013834	0.021506	0.066160	0.244938	0.235843	0.165581	0.101996	0.093275	0.045605
<1940	2000-2499	5A	0.000000	0.000009	0.000288	0.002056	0.006858	0.014950	0.025135	0.035671	0.097470	0.293949	0.229770	0.137454	0.074396	0.059056	0.022938
<1940	2000-2499	5B	0.000000	0.000024	0.000688	0.004269	0.012639	0.024910	0.038418	0.050587	0.125432	0.319962	0.209896	0.109854	0.053392	0.037739	0.012190
<1940	2000-2499	6A	0.000000	0.000022	0.000649	0.004058	0.012110	0.024036	0.037303	0.049391	0.123352	0.318596	0.211773	0.111950	0.054849	0.039105	0.012805
<1940	2000-2499	6B	0.000000	0.000019	0.000566	0.003627	0.011037	0.022262	0.035024	0.046922	0.118981	0.315433	0.215531	0.116354	0.057977	0.042089	0.014179
<1940	2000-2499	7A	0.000000	0.000022	0.000649	0.004058	0.012110	0.024036	0.037303	0.049391	0.123352	0.318596	0.211773	0.111950	0.054849	0.039105	0.012805
<1940	2000-2499	7B	0.000000	0.000019	0.000566	0.003627	0.011037	0.022262	0.035024	0.046922	0.118981	0.315433	0.215531	0.116354	0.057977	0.042089	0.014179
<1940	2500-2999	1A	0.000000	0.000001	0.000031	0.000313	0.001372	0.003762	0.007687	0.012913	0.044012	0.195018	0.224344	0.180658	0.124318	0.128511	0.077061
<1940	2500-2999	2A	0.000000	0.000001	0.000031	0.000313	0.001372	0.003762	0.007687	0.012913	0.044012	0.195018	0.224344	0.180658	0.124318	0.128511	0.077061
<1940	2500-2999	2B	0.000000	0.000066	0.001552	0.008262	0.021647	0.038582	0.054661	0.066889	0.150990	0.327965	0.180936	0.083009	0.036294	0.022926	0.006221
<1940	2500-2999	3A	0.000000	0.000005	0.000193	0.001470	0.005172	0.011784	0.020567	0.030142	0.085872	0.278329	0.234301	0.148370	0.084081	0.070169	0.029543
<1940	2500-2999	3B	0.000000	0.000066	0.001552	0.008262	0.021647	0.038582	0.054661	0.066889	0.150990	0.327965	0.180936	0.083009	0.036294	0.022926	0.006221
<1940	2500-2999	3C	0.000000	0.000032	0.000863	0.005139	0.014722	0.028235	0.042554	0.054926	0.132740	0.323983	0.202748	0.102372	0.048342	0.033138	0.010206
<1940	2500-2999	4A	0.000000	0.000003	0.000108	0.000901	0.003410	0.008259	0.015187	0.023288	0.070392	0.252859	0.236262	0.162090	0.097995	0.087781	0.041464
<1940	2500-2999	4B	0.000000	0.000051	0.001274	0.007064	0.019083	0.034860	0.050420	0.062812	0.145071	0.327719	0.188689	0.089414	0.040121	0.026048	0.007374
<1940	2500-2999	4C	0.000000	0.000005	0.000186	0.001425	0.005034	0.011513	0.020162	0.029638	0.084772	0.276689	0.234596	0.149378	0.085032	0.071311	0.030260
<1940	2500-2999	5A	0.000000	0.000019	0.000554	0.003551	0.010835	0.021920	0.034580	0.046439	0.118117	0.314752	0.216222	0.117214	0.058608	0.042711	0.014479
<1940	2500-2999	5B	0.000000	0.000051	0.001274	0.007064	0.019083	0.034860	0.050420	0.062812	0.145071	0.327719	0.188689	0.089414	0.040121	0.026048	0.007374
<1940	2500-2999	6A	0.000000	0.000047	0.001195	0.006715	0.018325	0.033746	0.049135	0.061558	0.143190	0.327411	0.191020	0.091440	0.041366	0.027086	0.007767
<1940	2500-2999	6B	0.000000	0.000040	0.001052	0.006047	0.016824	0.031486	0.046476	0.058919	0.139139	0.326429	0.195787	0.095718	0.044044	0.029372	0.008667
<1940	2500-2999	7A	0.000000	0.000047	0.001195	0.006715	0.018325	0.033746	0.049135	0.061558	0.143190	0.327411	0.191020	0.091440	0.041366	0.027086	0.007767
<1940	2500-2999	7B	0.000000	0.000040	0.001052	0.006047	0.016824	0.031486	0.046476	0.058919	0.139139	0.326429	0.195787	0.095718	0.044044	0.029372	0.008667
<1940	3000-3999	1A	0.000000	0.000002	0.000082	0.000706	0.002764	0.006894	0.013000	0.020373	0.063371	0.239349	0.235221	0.167795	0.104705	0.097128	0.048611
<1940	3000-3999	2A	0.000000	0.000002	0.000082	0.000706	0.002764	0.006894	0.013000	0.020373	0.063371	0.239349	0.235221	0.167795	0.104705	0.097128	0.048611
<1940	3000-3999	2B	0.000000	0.000165	0.003167	0.014568	0.034006	0.055126	0.072088	0.082322	0.170192	0.318394	0.148974	0.060353	0.023892	0.013602	0.003151
<1940	3000-3999	3A	0.000000	0.000014	0.000448	0.002977	0.009355	0.019393	0.031237	0.042713	0.111220	0.308703	0.221418	0.124069	0.063713	0.047785	0.016954
<1940	3000-3999	3B	0.000000	0.000165	0.003167	0.014568	0.034006	0.055126	0.072088	0.082322	0.170192	0.318394	0.148974	0.060353	0.023892	0.013602	0.003151
<1940	3000-3999	3C	0.000000	0.000080	0.001822	0.009432	0.024105	0.042055	0.058501	0.070460	0.155865	0.327160	0.173919	0.077595	0.033178	0.020471	0.005356
<1940	3000-3999	4A	0.000000	0.000008	0.000260	0.001887	0.006385	0.014081	0.023902	0.034200	0.094437	0.290042	0.231104	0.140348	0.076906	0.061880	0.024561
<1940	3000-3999	4B	0.000000	0.000130	0.002641	0.012630	0.030391	0.050499	0.067428	0.078395	0.165803	0.322415	0.157514	0.065926	0.026785	0.015665	0.003779
<1940	3000-3999	4C	0.000000	0.000014	0.000431	0.002885	0.009114	0.018980	0.030687	0.042097	0.110066	0.307608	0.222218	0.125208	0.064591	0.048687	0.017415
<1940	3000-3999	5A	0.000000	0.000047	0.001194	0.006704	0.018289	0.033680	0.049047	0.061461	0.143019	0.327292	0.191167	0.091608	0.041482	0.027195	0.007814
<1940	3000-3999	5B	0.000000	0.000130	0.002641	0.012630	0.030391	0.050499	0.067428	0.078395	0.165803	0.322415	0.157514	0.065926	0.026785	0.015665	0.003779
<1940	3000-3999	6A	0.000000	0.000121	0.002495	0.012078	0.029331	0.049108	0.065992	0.077154	0.164342	0.323442	0.160134	0.067703	0.027733	0.016363	0.004002
<1940	3000-3999	6B	0.000000	0.000103	0.002206	0.010966	0.027175	0.046247	0.063001	0.074526	0.161122	0.325251	0.165640	0.071547	0.029813	0.017905	0.004498
<1940	3000-3999	7A	0.000000	0.000121	0.002495	0.012078	0.029331	0.049108	0.065992	0.077154	0.164342	0.323442	0.160134	0.067703	0.027733	0.016363	0.004002
<1940	3000-3999	7B	0.000000	0.000103	0.002206	0.010966	0.027175	0.046247	0.063001	0.074526	0.161122	0.325251	0.165640	0.071547	0.029813	0.017905	0.004498
<1940	4000+	1A	0.000037	0.004054	0.030007	0.075400	0.112943	0.128703	0.125423	0.111176	0.167429	0.183485	0.045517	0.011410	0.003078	0.001185	0.000154
<1940	4000+	2A	0.000037	0.004054	0.030007	0.075400	0.112943	0.128703	0.125423	0.111176	0.167429	0.183485	0.045517	0.011410	0.003078	0.001185	0.000154
<1940	4000+	2B	0.000973	0.055100	0.171934	0.211257	0.181473	0.132652	0.089480	0.057904	0.059734	0.035129	0.003776	0.000492	0.000077	0.000017	0.000002
<1940	4000+	3A	0.000218	0.014717	0.072745	0.134269	0.158833	0.149880	0.124818	0.096645	0.123343	0.102504	0.017717	0.003353	0.000718	0.000219	0.000021
<1940	4000+	3B	0.000973	0.055100	0.171934	0.211257	0.181473	0.132652	0.089480	0.057904	0.059734	0.035129	0.003776	0.000492	0.000077	0.000017	0.000002
<1940	4000+	3C	0.000654	0.038638	0.138170	0.191705	0.181211	0.142951	0.102659	0.070048	0.076872	0.049881	0.006135	0.000886	0.000151	0.000036	0.000003
<1940	4000+	4A	0.000132	0.009938	0.055544	0.113388	0.145097	0.145824	0.127978	0.103653	0.139717	0.127140	0.024798	0.005160	0.001195	0.000394	0.000041
<1940	4000+	4B	0.000842	0.048986	0.160274	0.205191	0.182036	0.136523	0.094054	0.061961	0.065264	0.039677	0.004466	0.000603	0.000097	0.000022	0.000002
<1940	4000+	4C	0.000210	0.014327	0.071449	0.132832	0.157994	0.149724	0.125121	0.097166	0.124458	0.104086	0.018164	0.003469	0.000749	0.000230	0.000022
<1940	4000+	5A	0.000493	0.029227	0.115117	0.174727	0.177319	0.148019	0.111354	0.079033	0.090849	0.063528	0.008661	0.001357	0.000248	0.000064	0.000005
<1940	4000+	5B	0.000842	0.048986	0.160274	0.205191	0.182036	0.136523	0.094054	0.061961	0.065264	0.039677	0.004466	0.000603	0.000097	0.000022	0.000002
<1940	4000+	6A	0.000828	0.047314	0.156625	0.203123	0.182070	0.137663	0.095465	0.063237	0.067033	0.041167	0.004700	0.000642	0.000105	0.000024	0.000002
<1940	4000+	6B	0.000757	0.043748	0.149214	0.198706	0.181922	0.139917	0.098400	0.065956	0.070870	0.044431	0.005206	0.000724	0.000119	0.000028	0.000002
<1940	4000+	7A	0.000828	0.047314	0.156625	0.203123	0.182070	0.137663	0.095465	0.063237	0.067033	0.041167	0.004700	0.000642	0.000105	0.000024	0.000002
<1940	4000+	7B	0.000757	0.043748	0.149214	0.198706	0.181922	0.139917	0.098400	0.065956	0.070870	0.044431	0.005206	0.000724	0.000119	0.000028	0.000002
<1940	500-749	1A	0.000000	0.000000	0.000001	0.000013	0.000086	0.000327	0.000883	0.001879	0.008773	0.067593	0.130531	0.156998	0.149492	0.223393	0.260032
<1940	500-749	2A	0.000000	0.000000	0.000001	0.000013	0.000086	0.000327	0.000883	0.001879	0.008773	0.067593	0.130531	0.156998	0.149492	0.223393	0.260032
<1940	500-749	2B	0.000000	0.000002	0.000100	0.000845	0.003232	0.007895	0.014617	0.022542	0.068636	0.249646	0.236162	0.163558	0.099639	0.090007	0.043119
<1940	500-749	3A	0.000000	0.000000	0.000007	0.000092	0.000477	0.001495	0.003418	0.006322	0.024469	0.135479	0.192958	0.183284	0.144158	0.173145	0.134696
<1940	500-749	3B	0.000000	0.000002	0.000100	0.000845	0.003232	0.007895	0.014617	0.022542	0.068636	0.249646	0.236162	0.163558	0.099639	0.090007	0.043119
<1940	500-749	3C	0.000000	0.000001	0.000049	0.000459	0.001917	0.005032	0.009905	0.016107	0.052585	0.216088	0.230897	0.175663	0.115457	0.113417	0.062424
<1940	500-749	4A	0.000000	0.000000	0.000004	0.000049	0.000276	0.000926	0.002235	0.004329	0.017827	0.110024	0.173414	0.178148	0.149297	0.192727	0.170745
<1940	500-749	4B	0.000000	0.000002	0.000079	0.000691	0.002720	0.006805	0.012863	0.020196	0.062957	0.238595	0.235203	0.168150	0.105098	0.097653	0.048988
<1940	500-749	4C	0.000000	0.000000	0.000007	0.000089	0.000461	0.001450	0.003325	0.006167	0.023965	0.133656	0.191676	0.183041	0.144597	0.174544	0.137023
<1940	500-749	5A	0.000000	0.000000	0.000027	0.000282	0.001262	0.003508	0.007241	0.012264	0.042230	0.190334	0.222547	0.181486	0.126179	0.131946	0.080692
<1940	500-749	5B	0.000000	0.000002	0.000079	0.000691	0.002720	0.006805	0.012863	0.020196	0.062957	0.238595	0.235203	0.168150	0.105098	0.097653	0.048988
<1940	500-749	6A	0.000000	0.000002	0.000074	0.000649	0.002576	0.006492	0.012349	0.019499	0.061239	0.235107	0.234751	0.169479	0.106770	0.100079	0.050934
<1940	500-749	6B	0.000000	0.000001	0.000063	0.000565	0.002290	0.005870	0.011324	0.018096	0.057725	0.227668	0.233487	0.172084	0.110245	0.105282	0.055300
<1940	500-749	7A	0.000000	0.000002	0.000074	0.000649	0.002576	0.006492	0.012349	0.019499	0.061239	0.235107	0.234751	0.169479	0.106770	0.100079	0.050934
<1940	500-749	7B	0.000000	0.000001	0.000063	0.000565	0.002290	0.005870	0.011324	0.018096	0.057725	0.227668	0.233487	0.172084	0.110245	0.105282	0.055300
<1940	750-999	1A	0.000000	0.000000	0.000001	0.000020	0.000125	0.000457	0.001190	0.002460	0.011044	0.079396	0.143991	0.164924	0.150933	0.215473	0.229986
<1940	750-999	2A	0.000000	0.000000	0.000001	0.000020	0.000125	0.000457	0.001190	0.002460	0.011044	0.079396	0.143991	0.164924	0.150933	0.215473	0.229986
<1940	750-999	2B	0.000000	0.000004	0.000145	0.001156	0.004218	0.009910	0.017751	0.026607	0.078054	0.266167	0.235950	0.155460	0.090964	0.078608	0.035007
<1940	750-999	3A	0.000000	0.000000	0.000011	0.000133	0.000658	0.001987	0.004399	0.007909	0.029474	0.152611	0.203948	0.184411	0.139379	0.160047	0.115033
<1940	750-999	3B	0.000000	0.000004	0.000145	0.001156	0.004218	0.009910	0.017751	0.026607	0.078054	0.266167	0.235950	0.155460	0.090964	0.078608	0.035007
<1940	750-999	3C	0.000000	0.000002	0.000072	0.000636	0.002534	0.006408	0.012217	0.019323	0.060811	0.234228	0.234611	0.169792	0.107184	0.100703	0.051479
<1940	750-999	4A	0.000000	0.000000	0.000006	0.000073	0.000389	0.001252	0.002921	0.005498	0.021782	0.125632	0.185894	0.181836	0.146453	0.180703	0.147562
<1940	750-999	4B	0.000000	0.000003	0.000116	0.000951	0.003569	0.008587	0.015703	0.023966	0.071993	0.255803	0.236342	0.160729	0.096483	0.085755	0.040002
<1940	750-999	4C	0.000000	0.000000	0.000011	0.000128	0.000636	0.001928	0.004280	0.007719	0.028889	0.150712	0.202825	0.184366	0.139940	0.161475	0.117089
<1940	750-999	5A	0.000000	0.000001	0.000041	0.000399	0.001699	0.004537	0.009059	0.014911	0.049454	0.208745	0.228905	0.177637	0.118645	0.118653	0.067314
<1940	750-999	5B	0.000000	0.000003	0.000116	0.000951	0.003569	0.008587	0.015703	0.023966	0.071993	0.255803	0.236342	0.160729	0.096483	0.085755	0.040002
<1940	750-999	6A	0.000000	0.000003	0.000108	0.000897	0.003392	0.008217	0.015116	0.023192	0.070161	0.252450	0.236274	0.162291	0.098203	0.088047	0.041649
