Building,Location Weather Year,Usage Level,Geometry Building Type FPL,Location,Location Region,Location Weather Filename,Vintage FPL,Vintage,Heating Fuel,Geometry Building Type,Geometry Building Number Units HL,Geometry Foundation Type,Geometry House Size,Geometry Building Floors,Geometry Building Number Units MF,Geometry Building Number Units SFA,Geometry Garage,Bedrooms,Corridor,Geometry Unit Stories SF,Geometry Unit Stories MF,Geometry Is Multifamily Low Rise,Geometry Shared Walls SFA,Geometry Shared Walls MF,Occupants,Orientation,Eaves,Door Area,Window Areas,Overhangs,Neighbors,Insulation Unfinished Attic,Insulation Finished Roof,Radiant Barrier Unfinished Attic,Roof Material,Insulation Slab,Insulation Crawlspace,Insulation Unfinished Basement,Insulation Finished Basement,Insulation Pier Beam,Insulation Interzonal Floor,Insulation Wall,Interior Shading,Windows,Doors,Water Heater,Hot Water Fixtures,Hot Water Distribution,Solar Hot Water,HVAC System Is Shared,HVAC System Shared Electricity,HVAC System Shared Natural Gas,HVAC System Shared Propane,HVAC System Shared Fuel Oil,HVAC System Shared Other Fuel,HVAC System Shared None,HVAC System Is Heat Pump,HVAC System Heat Pump,HVAC System Heating Electricity,HVAC System Heating Natural Gas,HVAC System Heating Propane,HVAC System Heating Fuel Oil,HVAC System Heating Other Fuel,HVAC System Heating None,HVAC System Cooling,HVAC System Cooling Type,Heating Setpoint,Cooling Setpoint,Has Heating Setpoint Offset,Has Cooling Setpoint Offset,Heating Setpoint Offset Magnitude,Cooling Setpoint Offset Magnitude,Cooling Setpoint Offset Period,Heating Setpoint Offset Period,Ceiling Fan,Dehumidifier,Refrigerator,Refrigeration Schedule,Cooking Range,Cooking Range Schedule,Dishwasher,Clothes Washer,Clothes Dryer,Lighting,Lighting Interior Use,Lighting Other Use,Holiday Lighting,Plug Loads,Plug Loads Schedule,Electric Vehicle,Misc Extra Refrigerator,Misc Freezer,Misc Gas Fireplace,Misc Gas Grill,Misc Gas Lighting,Misc Hot Tub Spa,Misc Pool,Misc Pool Heater,Misc Pool Pump,Misc Pool Schedule,Misc Well Pump,Ducts,Infiltration,Natural Ventilation,Mechanical Ventilation,Bathroom Spot Vent Hour,Range Spot Vent Hour,PV,Days Shifted,Geometry Perimeter Footprint Ratio,Geometry Single Unit Horizontal Location,Geometry Single Unit Level
31,TMY3,High,50 or more Unit,CA_San.Francisco.Intl.AP.724940,CR11,USA_CA_San.Francisco.Intl.AP.724940_TMY3.epw,1980-99s,1980s,Electricity,Multi-Family with 5+ Units,50 or more Units low,Slab,0-1499,3,54,None,None,3,Double-Loaded Interior,N/a,1,Yes,None,None,Auto,Northeast,2 ft,20 ft^2,F15 B15 L15 R15,None,12,"Ceiling R-30, Vented",Uninsulated,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,R-13,"Wood Stud, R-11","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Gas Standard,200% Usage,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,None,None,None,None,None,None,No,None,Electric Furnace,None,None,None,None,None,"AC, SEER 10",Central,75F,75F,No,No,0F,0F,None,None,National Average,None,EF 10.2,National Average,"Electric, 120% Usage",National Average,"290 Rated kWh, 120% Usage","Standard, 120% Usage","Electric, 120% Usage",60% CFL,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,Has Pool,National Average,1.0 HP Pump,National Average,National Average,"30% Leakage, R-4",15 ACH50,"Year-Round, 3 days/wk",None,Hour6,Hour17,None,Day92,0.13,Middle,Bottom
32,TMY3,High,50 or more Unit,CA_San.Francisco.Intl.AP.724940,CR11,USA_CA_San.Francisco.Intl.AP.724940_TMY3.epw,1980-99s,1980s,Electricity,Multi-Family with 5+ Units,50 or more Units low,Slab,0-1499,3,54,None,None,3,Double-Loaded Interior,N/a,1,Yes,None,None,Auto,Northeast,2 ft,20 ft^2,F15 B15 L15 R15,None,12,"Ceiling R-30, Vented",Uninsulated,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,R-13,"Wood Stud, R-11","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Gas Standard,200% Usage,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,None,None,None,None,None,None,No,None,Electric Furnace,None,None,None,None,None,"AC, SEER 10",Central,75F,75F,No,No,0F,0F,None,None,National Average,None,EF 10.2,National Average,"Electric, 120% Usage",National Average,"290 Rated kWh, 120% Usage","Standard, 120% Usage","Electric, 120% Usage",60% CFL,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,Has Pool,National Average,1.0 HP Pump,National Average,National Average,"30% Leakage, R-4",15 ACH50,"Year-Round, 3 days/wk",None,Hour6,Hour17,None,Day92,0.13,Middle,Bottom
33,TMY3,High,50 or more Unit,CA_San.Francisco.Intl.AP.724940,CR11,USA_CA_San.Francisco.Intl.AP.724940_TMY3.epw,1980-99s,1980s,Electricity,Multi-Family with 5+ Units,50 or more Units low,Slab,0-1499,3,54,None,None,3,Double-Loaded Interior,N/a,1,Yes,None,None,Auto,Northeast,2 ft,20 ft^2,F15 B15 L15 R15,None,12,"Ceiling R-30, Vented",Uninsulated,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,R-13,"Wood Stud, R-11","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Gas Standard,200% Usage,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,None,None,None,None,None,None,No,None,Electric Furnace,None,None,None,None,None,"AC, SEER 10",Central,75F,75F,No,No,0F,0F,None,None,National Average,None,EF 10.2,National Average,"Electric, 120% Usage",National Average,"290 Rated kWh, 120% Usage","Standard, 120% Usage","Electric, 120% Usage",60% CFL,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,Has Pool,National Average,1.0 HP Pump,National Average,National Average,"30% Leakage, R-4",15 ACH50,"Year-Round, 3 days/wk",None,Hour6,Hour17,None,Day92,0.13,Middle,Bottom
34,TMY3,High,50 or more Unit,CA_San.Francisco.Intl.AP.724940,CR11,USA_CA_San.Francisco.Intl.AP.724940_TMY3.epw,1980-99s,1980s,Electricity,Multi-Family with 5+ Units,50 or more Units low,Slab,0-1499,3,54,None,None,3,Double-Loaded Interior,N/a,1,Yes,None,None,Auto,Northeast,2 ft,20 ft^2,F15 B15 L15 R15,None,12,"Ceiling R-30, Vented",Uninsulated,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,R-13,"Wood Stud, R-11","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Gas Standard,200% Usage,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,None,None,None,None,None,None,No,None,Electric Furnace,None,None,None,None,None,"AC, SEER 10",Central,75F,75F,No,No,0F,0F,None,None,National Average,None,EF 10.2,National Average,"Electric, 120% Usage",National Average,"290 Rated kWh, 120% Usage","Standard, 120% Usage","Electric, 120% Usage",60% CFL,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,Has Pool,National Average,1.0 HP Pump,National Average,National Average,"30% Leakage, R-4",15 ACH50,"Year-Round, 3 days/wk",None,Hour6,Hour17,None,Day92,0.13,Middle,Bottom
35,TMY3,High,50 or more Unit,CA_San.Francisco.Intl.AP.724940,CR11,USA_CA_San.Francisco.Intl.AP.724940_TMY3.epw,1980-99s,1980s,Electricity,Multi-Family with 5+ Units,50 or more Units low,Slab,0-1499,3,54,None,None,3,Double-Loaded Interior,N/a,1,Yes,None,None,Auto,Northeast,2 ft,20 ft^2,F15 B15 L15 R15,None,12,"Ceiling R-30, Vented",Uninsulated,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,R-13,"Wood Stud, R-11","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Gas Standard,200% Usage,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,None,None,None,None,None,None,No,None,Electric Furnace,None,None,None,None,None,"AC, SEER 10",Central,75F,75F,No,No,0F,0F,None,None,National Average,None,EF 10.2,National Average,"Electric, 120% Usage",National Average,"290 Rated kWh, 120% Usage","Standard, 120% Usage","Electric, 120% Usage",60% CFL,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,Has Pool,National Average,1.0 HP Pump,National Average,National Average,"30% Leakage, R-4",15 ACH50,"Year-Round, 3 days/wk",None,Hour6,Hour17,None,Day92,0.13,Middle,Bottom
36,TMY3,High,50 or more Unit,CA_San.Francisco.Intl.AP.724940,CR11,USA_CA_San.Francisco.Intl.AP.724940_TMY3.epw,1980-99s,1980s,Electricity,Multi-Family with 5+ Units,50 or more Units low,Slab,0-1499,3,54,None,None,3,Double-Loaded Interior,N/a,1,Yes,None,None,Auto,Northeast,2 ft,20 ft^2,F15 B15 L15 R15,None,12,"Ceiling R-30, Vented",Uninsulated,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,R-13,"Wood Stud, R-11","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Gas Standard,200% Usage,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,None,None,None,None,None,None,No,None,Electric Furnace,None,None,None,None,None,"AC, SEER 10",Central,75F,75F,No,No,0F,0F,None,None,National Average,None,EF 10.2,National Average,"Electric, 120% Usage",National Average,"290 Rated kWh, 120% Usage","Standard, 120% Usage","Electric, 120% Usage",60% CFL,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,Has Pool,National Average,1.0 HP Pump,National Average,National Average,"30% Leakage, R-4",15 ACH50,"Year-Round, 3 days/wk",None,Hour6,Hour17,None,Day92,0.13,Right,Bottom
37,TMY3,High,50 or more Unit,CA_San.Francisco.Intl.AP.724940,CR11,USA_CA_San.Francisco.Intl.AP.724940_TMY3.epw,1980-99s,1980s,Electricity,Multi-Family with 5+ Units,50 or more Units low,Slab,0-1499,3,54,None,None,3,Double-Loaded Interior,N/a,1,Yes,None,None,Auto,Northeast,2 ft,20 ft^2,F15 B15 L15 R15,None,12,"Ceiling R-30, Vented",Uninsulated,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,R-13,"Wood Stud, R-11","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Gas Standard,200% Usage,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,None,None,None,None,None,None,No,None,Electric Furnace,None,None,None,None,None,"AC, SEER 10",Central,75F,75F,No,No,0F,0F,None,None,National Average,None,EF 10.2,National Average,"Electric, 120% Usage",National Average,"290 Rated kWh, 120% Usage","Standard, 120% Usage","Electric, 120% Usage",60% CFL,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,Has Pool,National Average,1.0 HP Pump,National Average,National Average,"30% Leakage, R-4",15 ACH50,"Year-Round, 3 days/wk",None,Hour6,Hour17,None,Day92,0.13,Left,Middle
38,TMY3,High,50 or more Unit,CA_San.Francisco.Intl.AP.724940,CR11,USA_CA_San.Francisco.Intl.AP.724940_TMY3.epw,1980-99s,1980s,Electricity,Multi-Family with 5+ Units,50 or more Units low,Slab,0-1499,3,54,None,None,3,Double-Loaded Interior,N/a,1,Yes,None,None,Auto,Northeast,2 ft,20 ft^2,F15 B15 L15 R15,None,12,"Ceiling R-30, Vented",Uninsulated,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,R-13,"Wood Stud, R-11","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Gas Standard,200% Usage,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,None,None,None,None,None,None,No,None,Electric Furnace,None,None,None,None,None,"AC, SEER 10",Central,75F,75F,No,No,0F,0F,None,None,National Average,None,EF 10.2,National Average,"Electric, 120% Usage",National Average,"290 Rated kWh, 120% Usage","Standard, 120% Usage","Electric, 120% Usage",60% CFL,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,Has Pool,National Average,1.0 HP Pump,National Average,National Average,"30% Leakage, R-4",15 ACH50,"Year-Round, 3 days/wk",None,Hour6,Hour17,None,Day92,0.13,Middle,Middle
39,TMY3,High,50 or more Unit,CA_San.Francisco.Intl.AP.724940,CR11,USA_CA_San.Francisco.Intl.AP.724940_TMY3.epw,1980-99s,1980s,Electricity,Multi-Family with 5+ Units,50 or more Units low,Slab,0-1499,3,54,None,None,3,Double-Loaded Interior,N/a,1,Yes,None,None,Auto,Northeast,2 ft,20 ft^2,F15 B15 L15 R15,None,12,"Ceiling R-30, Vented",Uninsulated,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,R-13,"Wood Stud, R-11","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Gas Standard,200% Usage,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,None,None,None,None,None,None,No,None,Electric Furnace,None,None,None,None,None,"AC, SEER 10",Central,75F,75F,No,No,0F,0F,None,None,National Average,None,EF 10.2,National Average,"Electric, 120% Usage",National Average,"290 Rated kWh, 120% Usage","Standard, 120% Usage","Electric, 120% Usage",60% CFL,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,Has Pool,National Average,1.0 HP Pump,National Average,National Average,"30% Leakage, R-4",15 ACH50,"Year-Round, 3 days/wk",None,Hour6,Hour17,None,Day92,0.13,Middle,Middle
40,TMY3,High,50 or more Unit,CA_San.Francisco.Intl.AP.724940,CR11,USA_CA_San.Francisco.Intl.AP.724940_TMY3.epw,1980-99s,1980s,Electricity,Multi-Family with 5+ Units,50 or more Units low,Slab,0-1499,3,54,None,None,3,Double-Loaded Interior,N/a,1,Yes,None,None,Auto,Northeast,2 ft,20 ft^2,F15 B15 L15 R15,None,12,"Ceiling R-30, Vented",Uninsulated,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,R-13,"Wood Stud, R-11","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Gas Standard,200% Usage,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,None,None,None,None,None,None,No,None,Electric Furnace,None,None,None,None,None,"AC, SEER 10",Central,75F,75F,No,No,0F,0F,None,None,National Average,None,EF 10.2,National Average,"Electric, 120% Usage",National Average,"290 Rated kWh, 120% Usage","Standard, 120% Usage","Electric, 120% Usage",60% CFL,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,Has Pool,National Average,1.0 HP Pump,National Average,National Average,"30% Leakage, R-4",15 ACH50,"Year-Round, 3 days/wk",None,Hour6,Hour17,None,Day92,0.13,Middle,Middle
41,TMY3,High,50 or more Unit,CA_San.Francisco.Intl.AP.724940,CR11,USA_CA_San.Francisco.Intl.AP.724940_TMY3.epw,1980-99s,1980s,Electricity,Multi-Family with 5+ Units,50 or more Units low,Slab,0-1499,3,54,None,None,3,Double-Loaded Interior,N/a,1,Yes,None,None,Auto,Northeast,2 ft,20 ft^2,F15 B15 L15 R15,None,12,"Ceiling R-30, Vented",Uninsulated,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,R-13,"Wood Stud, R-11","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Gas Standard,200% Usage,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,None,None,None,None,None,None,No,None,Electric Furnace,None,None,None,None,None,"AC, SEER 10",Central,75F,75F,No,No,0F,0F,None,None,National Average,None,EF 10.2,National Average,"Electric, 120% Usage",National Average,"290 Rated kWh, 120% Usage","Standard, 120% Usage","Electric, 120% Usage",60% CFL,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,Has Pool,National Average,1.0 HP Pump,National Average,National Average,"30% Leakage, R-4",15 ACH50,"Year-Round, 3 days/wk",None,Hour6,Hour17,None,Day92,0.13,Middle,Middle
42,TMY3,High,50 or more Unit,CA_San.Francisco.Intl.AP.724940,CR11,USA_CA_San.Francisco.Intl.AP.724940_TMY3.epw,1980-99s,1980s,Electricity,Multi-Family with 5+ Units,50 or more Units low,Slab,0-1499,3,54,None,None,3,Double-Loaded Interior,N/a,1,Yes,None,None,Auto,Northeast,2 ft,20 ft^2,F15 B15 L15 R15,None,12,"Ceiling R-30, Vented",Uninsulated,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,R-13,"Wood Stud, R-11","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Gas Standard,200% Usage,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,None,None,None,None,None,None,No,None,Electric Furnace,None,None,None,None,None,"AC, SEER 10",Central,75F,75F,No,No,0F,0F,None,None,National Average,None,EF 10.2,National Average,"Electric, 120% Usage",National Average,"290 Rated kWh, 120% Usage","Standard, 120% Usage","Electric, 120% Usage",60% CFL,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,Has Pool,National Average,1.0 HP Pump,National Average,National Average,"30% Leakage, R-4",15 ACH50,"Year-Round, 3 days/wk",None,Hour6,Hour17,None,Day92,0.13,Middle,Middle
43,TMY3,High,50 or more Unit,CA_San.Francisco.Intl.AP.724940,CR11,USA_CA_San.Francisco.Intl.AP.724940_TMY3.epw,1980-99s,1980s,Electricity,Multi-Family with 5+ Units,50 or more Units low,Slab,0-1499,3,54,None,None,3,Double-Loaded Interior,N/a,1,Yes,None,None,Auto,Northeast,2 ft,20 ft^2,F15 B15 L15 R15,None,12,"Ceiling R-30, Vented",Uninsulated,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,R-13,"Wood Stud, R-11","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Gas Standard,200% Usage,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,None,None,None,None,None,None,No,None,Electric Furnace,None,None,None,None,None,"AC, SEER 10",Central,75F,75F,No,No,0F,0F,None,None,National Average,None,EF 10.2,National Average,"Electric, 120% Usage",National Average,"290 Rated kWh, 120% Usage","Standard, 120% Usage","Electric, 120% Usage",60% CFL,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,Has Pool,National Average,1.0 HP Pump,National Average,National Average,"30% Leakage, R-4",15 ACH50,"Year-Round, 3 days/wk",None,Hour6,Hour17,None,Day92,0.13,Middle,Middle
44,TMY3,High,50 or more Unit,CA_San.Francisco.Intl.AP.724940,CR11,USA_CA_San.Francisco.Intl.AP.724940_TMY3.epw,1980-99s,1980s,Electricity,Multi-Family with 5+ Units,50 or more Units low,Slab,0-1499,3,54,None,None,3,Double-Loaded Interior,N/a,1,Yes,None,None,Auto,Northeast,2 ft,20 ft^2,F15 B15 L15 R15,None,12,"Ceiling R-30, Vented",Uninsulated,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,R-13,"Wood Stud, R-11","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Gas Standard,200% Usage,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,None,None,None,None,None,None,No,None,Electric Furnace,None,None,None,None,None,"AC, SEER 10",Central,75F,75F,No,No,0F,0F,None,None,National Average,None,EF 10.2,National Average,"Electric, 120% Usage",National Average,"290 Rated kWh, 120% Usage","Standard, 120% Usage","Electric, 120% Usage",60% CFL,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,Has Pool,National Average,1.0 HP Pump,National Average,National Average,"30% Leakage, R-4",15 ACH50,"Year-Round, 3 days/wk",None,Hour6,Hour17,None,Day92,0.13,Middle,Middle
45,TMY3,High,50 or more Unit,CA_San.Francisco.Intl.AP.724940,CR11,USA_CA_San.Francisco.Intl.AP.724940_TMY3.epw,1980-99s,1980s,Electricity,Multi-Family with 5+ Units,50 or more Units low,Slab,0-1499,3,54,None,None,3,Double-Loaded Interior,N/a,1,Yes,None,None,Auto,Northeast,2 ft,20 ft^2,F15 B15 L15 R15,None,12,"Ceiling R-30, Vented",Uninsulated,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,R-13,"Wood Stud, R-11","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Gas Standard,200% Usage,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,None,None,None,None,None,None,No,None,Electric Furnace,None,None,None,None,None,"AC, SEER 10",Central,75F,75F,No,No,0F,0F,None,None,National Average,None,EF 10.2,National Average,"Electric, 120% Usage",National Average,"290 Rated kWh, 120% Usage","Standard, 120% Usage","Electric, 120% Usage",60% CFL,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,Has Pool,National Average,1.0 HP Pump,National Average,National Average,"30% Leakage, R-4",15 ACH50,"Year-Round, 3 days/wk",None,Hour6,Hour17,None,Day92,0.13,Right,Middle
46,TMY3,High,50 or more Unit,CA_San.Francisco.Intl.AP.724940,CR11,USA_CA_San.Francisco.Intl.AP.724940_TMY3.epw,1980-99s,1980s,Electricity,Multi-Family with 5+ Units,50 or more Units low,Slab,0-1499,3,54,None,None,3,Double-Loaded Interior,N/a,1,Yes,None,None,Auto,Northeast,2 ft,20 ft^2,F15 B15 L15 R15,None,12,"Ceiling R-30, Vented",Uninsulated,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,R-13,"Wood Stud, R-11","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Gas Standard,200% Usage,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,None,None,None,None,None,None,No,None,Electric Furnace,None,None,None,None,None,"AC, SEER 10",Central,75F,75F,No,No,0F,0F,None,None,National Average,None,EF 10.2,National Average,"Electric, 120% Usage",National Average,"290 Rated kWh, 120% Usage","Standard, 120% Usage","Electric, 120% Usage",60% CFL,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,Has Pool,National Average,1.0 HP Pump,National Average,National Average,"30% Leakage, R-4",15 ACH50,"Year-Round, 3 days/wk",None,Hour6,Hour17,None,Day92,0.13,Left,Top
47,TMY3,High,50 or more Unit,CA_San.Francisco.Intl.AP.724940,CR11,USA_CA_San.Francisco.Intl.AP.724940_TMY3.epw,1980-99s,1980s,Electricity,Multi-Family with 5+ Units,50 or more Units low,Slab,0-1499,3,54,None,None,3,Double-Loaded Interior,N/a,1,Yes,None,None,Auto,Northeast,2 ft,20 ft^2,F15 B15 L15 R15,None,12,"Ceiling R-30, Vented",Uninsulated,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,R-13,"Wood Stud, R-11","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Gas Standard,200% Usage,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,None,None,None,None,None,None,No,None,Electric Furnace,None,None,None,None,None,"AC, SEER 10",Central,75F,75F,No,No,0F,0F,None,None,National Average,None,EF 10.2,National Average,"Electric, 120% Usage",National Average,"290 Rated kWh, 120% Usage","Standard, 120% Usage","Electric, 120% Usage",60% CFL,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,Has Pool,National Average,1.0 HP Pump,National Average,National Average,"30% Leakage, R-4",15 ACH50,"Year-Round, 3 days/wk",None,Hour6,Hour17,None,Day92,0.13,Middle,Top
48,TMY3,High,50 or more Unit,CA_San.Francisco.Intl.AP.724940,CR11,USA_CA_San.Francisco.Intl.AP.724940_TMY3.epw,1980-99s,1980s,Electricity,Multi-Family with 5+ Units,50 or more Units low,Slab,0-1499,3,54,None,None,3,Double-Loaded Interior,N/a,1,Yes,None,None,Auto,Northeast,2 ft,20 ft^2,F15 B15 L15 R15,None,12,"Ceiling R-30, Vented",Uninsulated,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,R-13,"Wood Stud, R-11","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Gas Standard,200% Usage,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,None,None,None,None,None,None,No,None,Electric Furnace,None,None,None,None,None,"AC, SEER 10",Central,75F,75F,No,No,0F,0F,None,None,National Average,None,EF 10.2,National Average,"Electric, 120% Usage",National Average,"290 Rated kWh, 120% Usage","Standard, 120% Usage","Electric, 120% Usage",60% CFL,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,Has Pool,National Average,1.0 HP Pump,National Average,National Average,"30% Leakage, R-4",15 ACH50,"Year-Round, 3 days/wk",None,Hour6,Hour17,None,Day92,0.13,Middle,Top
49,TMY3,High,50 or more Unit,CA_San.Francisco.Intl.AP.724940,CR11,USA_CA_San.Francisco.Intl.AP.724940_TMY3.epw,1980-99s,1980s,Electricity,Multi-Family with 5+ Units,50 or more Units low,Slab,0-1499,3,54,None,None,3,Double-Loaded Interior,N/a,1,Yes,None,None,Auto,Northeast,2 ft,20 ft^2,F15 B15 L15 R15,None,12,"Ceiling R-30, Vented",Uninsulated,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,R-13,"Wood Stud, R-11","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Gas Standard,200% Usage,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,None,None,None,None,None,None,No,None,Electric Furnace,None,None,None,None,None,"AC, SEER 10",Central,75F,75F,No,No,0F,0F,None,None,National Average,None,EF 10.2,National Average,"Electric, 120% Usage",National Average,"290 Rated kWh, 120% Usage","Standard, 120% Usage","Electric, 120% Usage",60% CFL,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,Has Pool,National Average,1.0 HP Pump,National Average,National Average,"30% Leakage, R-4",15 ACH50,"Year-Round, 3 days/wk",None,Hour6,Hour17,None,Day92,0.13,Middle,Top
50,TMY3,High,50 or more Unit,CA_San.Francisco.Intl.AP.724940,CR11,USA_CA_San.Francisco.Intl.AP.724940_TMY3.epw,1980-99s,1980s,Electricity,Multi-Family with 5+ Units,50 or more Units low,Slab,0-1499,3,54,None,None,3,Double-Loaded Interior,N/a,1,Yes,None,None,Auto,Northeast,2 ft,20 ft^2,F15 B15 L15 R15,None,12,"Ceiling R-30, Vented",Uninsulated,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,R-13,"Wood Stud, R-11","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Gas Standard,200% Usage,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,None,None,None,None,None,None,No,None,Electric Furnace,None,None,None,None,None,"AC, SEER 10",Central,75F,75F,No,No,0F,0F,None,None,National Average,None,EF 10.2,National Average,"Electric, 120% Usage",National Average,"290 Rated kWh, 120% Usage","Standard, 120% Usage","Electric, 120% Usage",60% CFL,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,Has Pool,National Average,1.0 HP Pump,National Average,National Average,"30% Leakage, R-4",15 ACH50,"Year-Round, 3 days/wk",None,Hour6,Hour17,None,Day92,0.13,Middle,Top
